index,predicted_label,model_name
254,Casual,typhoon-v2.1-12b-instruct
255,Semi-formal,typhoon-v2.1-12b-instruct
256,Ceremonial,typhoon-v2.1-12b-instruct
257,Casual,typhoon-v2.1-12b-instruct
258,Semi-formal,typhoon-v2.1-12b-instruct
259,Formal,typhoon-v2.1-12b-instruct
260,Formal,typhoon-v2.1-12b-instruct
261,Formal,typhoon-v2.1-12b-instruct
262,Casual,typhoon-v2.1-12b-instruct
263,Formal,typhoon-v2.1-12b-instruct
264,Ceremonial,typhoon-v2.1-12b-instruct
265,Semi-formal,typhoon-v2.1-12b-instruct
266,Semi-formal,typhoon-v2.1-12b-instruct
267,Formal,typhoon-v2.1-12b-instruct
268,Semi-formal,typhoon-v2.1-12b-instruct
269,Ceremonial,typhoon-v2.1-12b-instruct
270,Semi-formal,typhoon-v2.1-12b-instruct
271,Formal,typhoon-v2.1-12b-instruct
272,Semi-formal,typhoon-v2.1-12b-instruct
273,Ceremonial,typhoon-v2.1-12b-instruct
274,Formal,typhoon-v2.1-12b-instruct
275,Ceremonial,typhoon-v2.1-12b-instruct
276,Formal,typhoon-v2.1-12b-instruct
277,Formal,typhoon-v2.1-12b-instruct
278,Casual,typhoon-v2.1-12b-instruct
279,Formal,typhoon-v2.1-12b-instruct
280,Formal,typhoon-v2.1-12b-instruct
281,Ceremonial,typhoon-v2.1-12b-instruct
282,Semi-formal,typhoon-v2.1-12b-instruct
283,Semi-formal,typhoon-v2.1-12b-instruct
284,Formal,typhoon-v2.1-12b-instruct
285,Formal,typhoon-v2.1-12b-instruct
286,Formal,typhoon-v2.1-12b-instruct
287,Semi-formal,typhoon-v2.1-12b-instruct
288,Semi-formal,typhoon-v2.1-12b-instruct
289,Ceremonial,typhoon-v2.1-12b-instruct
290,Formal,typhoon-v2.1-12b-instruct
291,Formal,typhoon-v2.1-12b-instruct
292,Semi-formal,typhoon-v2.1-12b-instruct
293,Formal,typhoon-v2.1-12b-instruct
294,Ceremonial,typhoon-v2.1-12b-instruct
295,Formal,typhoon-v2.1-12b-instruct
296,Semi-formal,typhoon-v2.1-12b-instruct
297,Semi-formal,typhoon-v2.1-12b-instruct
298,Ceremonial,typhoon-v2.1-12b-instruct
299,Semi-formal,typhoon-v2.1-12b-instruct
300,Formal,typhoon-v2.1-12b-instruct
301,Ceremonial,typhoon-v2.1-12b-instruct
302,Casual,typhoon-v2.1-12b-instruct
303,Ceremonial,typhoon-v2.1-12b-instruct
304,Semi-formal,typhoon-v2.1-12b-instruct
305,Formal,typhoon-v2.1-12b-instruct
306,Casual,typhoon-v2.1-12b-instruct
307,Semi-formal,typhoon-v2.1-12b-instruct
308,Formal,typhoon-v2.1-12b-instruct
309,Formal,typhoon-v2.1-12b-instruct
310,Semi-formal,typhoon-v2.1-12b-instruct
311,Semi-formal,typhoon-v2.1-12b-instruct
312,Semi-formal,typhoon-v2.1-12b-instruct
313,Casual,typhoon-v2.1-12b-instruct
314,Semi-formal,typhoon-v2.1-12b-instruct
315,Formal,typhoon-v2.1-12b-instruct
316,Formal,typhoon-v2.1-12b-instruct
317,Ceremonial,typhoon-v2.1-12b-instruct
318,Ceremonial,typhoon-v2.1-12b-instruct
319,Formal,typhoon-v2.1-12b-instruct
320,Semi-formal,typhoon-v2.1-12b-instruct
321,Semi-formal,typhoon-v2.1-12b-instruct
322,Semi-formal,typhoon-v2.1-12b-instruct
323,Semi-formal,typhoon-v2.1-12b-instruct
324,Ceremonial,typhoon-v2.1-12b-instruct
325,Semi-formal,typhoon-v2.1-12b-instruct
326,Semi-formal,typhoon-v2.1-12b-instruct
327,Formal,typhoon-v2.1-12b-instruct
328,Semi-formal,typhoon-v2.1-12b-instruct
329,Formal,typhoon-v2.1-12b-instruct
330,Ceremonial,typhoon-v2.1-12b-instruct
331,Formal,typhoon-v2.1-12b-instruct
332,Formal,typhoon-v2.1-12b-instruct
333,Casual,typhoon-v2.1-12b-instruct
334,Ceremonial,typhoon-v2.1-12b-instruct
335,Casual,typhoon-v2.1-12b-instruct
336,Semi-formal,typhoon-v2.1-12b-instruct
337,Formal,typhoon-v2.1-12b-instruct
338,Semi-formal,typhoon-v2.1-12b-instruct
339,Formal,typhoon-v2.1-12b-instruct
340,Formal,typhoon-v2.1-12b-instruct
341,Semi-formal,typhoon-v2.1-12b-instruct
342,Ceremonial,typhoon-v2.1-12b-instruct
343,Casual,typhoon-v2.1-12b-instruct
344,Semi-formal,typhoon-v2.1-12b-instruct
345,Semi-formal,typhoon-v2.1-12b-instruct
346,Formal,typhoon-v2.1-12b-instruct
347,Semi-formal,typhoon-v2.1-12b-instruct
348,Ceremonial,typhoon-v2.1-12b-instruct
349,Ceremonial,typhoon-v2.1-12b-instruct
350,Semi-formal,typhoon-v2.1-12b-instruct
351,Formal,typhoon-v2.1-12b-instruct
352,Formal,typhoon-v2.1-12b-instruct
353,Ceremonial,typhoon-v2.1-12b-instruct
354,Ceremonial,typhoon-v2.1-12b-instruct
355,Casual,typhoon-v2.1-12b-instruct
356,Ceremonial,typhoon-v2.1-12b-instruct
357,Semi-formal,typhoon-v2.1-12b-instruct
358,Formal,typhoon-v2.1-12b-instruct
359,Formal,typhoon-v2.1-12b-instruct
360,Formal,typhoon-v2.1-12b-instruct
361,Semi-formal,typhoon-v2.1-12b-instruct
362,Semi-formal,typhoon-v2.1-12b-instruct
363,Semi-formal,typhoon-v2.1-12b-instruct
364,Formal,typhoon-v2.1-12b-instruct
365,Formal,typhoon-v2.1-12b-instruct
366,Ceremonial,typhoon-v2.1-12b-instruct
367,Formal,typhoon-v2.1-12b-instruct
368,Semi-formal,typhoon-v2.1-12b-instruct
369,Formal,typhoon-v2.1-12b-instruct
370,Formal,typhoon-v2.1-12b-instruct
371,Formal,typhoon-v2.1-12b-instruct
372,Casual,typhoon-v2.1-12b-instruct
373,Semi-formal,typhoon-v2.1-12b-instruct
374,Formal,typhoon-v2.1-12b-instruct
375,Formal,typhoon-v2.1-12b-instruct
376,Casual,typhoon-v2.1-12b-instruct
377,Formal,typhoon-v2.1-12b-instruct
378,Ceremonial,typhoon-v2.1-12b-instruct
379,Formal,typhoon-v2.1-12b-instruct
380,Formal,typhoon-v2.1-12b-instruct
381,Ceremonial,typhoon-v2.1-12b-instruct
382,Semi-formal,typhoon-v2.1-12b-instruct
383,Semi-formal,typhoon-v2.1-12b-instruct
384,Ceremonial,typhoon-v2.1-12b-instruct
385,Casual,typhoon-v2.1-12b-instruct
386,Formal,typhoon-v2.1-12b-instruct
387,Semi-formal,typhoon-v2.1-12b-instruct
388,Formal,typhoon-v2.1-12b-instruct
389,Formal,typhoon-v2.1-12b-instruct
390,Ceremonial,typhoon-v2.1-12b-instruct
391,Ceremonial,typhoon-v2.1-12b-instruct
392,Casual,typhoon-v2.1-12b-instruct
393,Formal,typhoon-v2.1-12b-instruct
394,Casual,typhoon-v2.1-12b-instruct
395,Formal,typhoon-v2.1-12b-instruct
396,Ceremonial,typhoon-v2.1-12b-instruct
397,Semi-formal,typhoon-v2.1-12b-instruct
398,Semi-formal,typhoon-v2.1-12b-instruct
399,Casual,typhoon-v2.1-12b-instruct
400,Casual,typhoon-v2.1-12b-instruct
401,Semi-formal,typhoon-v2.1-12b-instruct
402,Formal,typhoon-v2.1-12b-instruct
403,Formal,typhoon-v2.1-12b-instruct
404,Semi-formal,typhoon-v2.1-12b-instruct
405,Semi-formal,typhoon-v2.1-12b-instruct
406,Ceremonial,typhoon-v2.1-12b-instruct
407,Semi-formal,typhoon-v2.1-12b-instruct
408,Formal,typhoon-v2.1-12b-instruct
409,Formal,typhoon-v2.1-12b-instruct
410,Formal,typhoon-v2.1-12b-instruct
411,Semi-formal,typhoon-v2.1-12b-instruct
412,Semi-formal,typhoon-v2.1-12b-instruct
413,Ceremonial,typhoon-v2.1-12b-instruct
414,Casual,typhoon-v2.1-12b-instruct
415,Ceremonial,typhoon-v2.1-12b-instruct
416,Casual,typhoon-v2.1-12b-instruct
417,Formal,typhoon-v2.1-12b-instruct
418,Formal,typhoon-v2.1-12b-instruct
419,Semi-formal,typhoon-v2.1-12b-instruct
420,Casual,typhoon-v2.1-12b-instruct
421,Semi-formal,typhoon-v2.1-12b-instruct
422,Formal,typhoon-v2.1-12b-instruct
423,Casual,typhoon-v2.1-12b-instruct
424,Casual,typhoon-v2.1-12b-instruct
425,Ceremonial,typhoon-v2.1-12b-instruct
426,Ceremonial,typhoon-v2.1-12b-instruct
427,Formal,typhoon-v2.1-12b-instruct
428,Casual,typhoon-v2.1-12b-instruct
429,Ceremonial,typhoon-v2.1-12b-instruct
430,Semi-formal,typhoon-v2.1-12b-instruct
431,Semi-formal,typhoon-v2.1-12b-instruct
432,Ceremonial,typhoon-v2.1-12b-instruct
433,Semi-formal,typhoon-v2.1-12b-instruct
434,Semi-formal,typhoon-v2.1-12b-instruct
435,Ceremonial,typhoon-v2.1-12b-instruct
436,Ceremonial,typhoon-v2.1-12b-instruct
437,Formal,typhoon-v2.1-12b-instruct
438,Formal,typhoon-v2.1-12b-instruct
439,Formal,typhoon-v2.1-12b-instruct
440,Formal,typhoon-v2.1-12b-instruct
441,Semi-formal,typhoon-v2.1-12b-instruct
442,Formal,typhoon-v2.1-12b-instruct
443,Formal,typhoon-v2.1-12b-instruct
444,Ceremonial,typhoon-v2.1-12b-instruct
445,Ceremonial,typhoon-v2.1-12b-instruct
446,Formal,typhoon-v2.1-12b-instruct
447,Semi-formal,typhoon-v2.1-12b-instruct
448,Formal,typhoon-v2.1-12b-instruct
449,Semi-formal,typhoon-v2.1-12b-instruct
450,Semi-formal,typhoon-v2.1-12b-instruct
451,Ceremonial,typhoon-v2.1-12b-instruct
452,Formal,typhoon-v2.1-12b-instruct
453,Formal,typhoon-v2.1-12b-instruct
454,Semi-formal,typhoon-v2.1-12b-instruct
455,Ceremonial,typhoon-v2.1-12b-instruct
456,Semi-formal,typhoon-v2.1-12b-instruct
457,Formal,typhoon-v2.1-12b-instruct
458,Semi-formal,typhoon-v2.1-12b-instruct
459,Semi-formal,typhoon-v2.1-12b-instruct
460,Formal,typhoon-v2.1-12b-instruct
461,Semi-formal,typhoon-v2.1-12b-instruct
462,Formal,typhoon-v2.1-12b-instruct
463,Semi-formal,typhoon-v2.1-12b-instruct
464,Formal,typhoon-v2.1-12b-instruct
465,Formal,typhoon-v2.1-12b-instruct
466,Casual,typhoon-v2.1-12b-instruct
467,Casual,typhoon-v2.1-12b-instruct
468,Casual,typhoon-v2.1-12b-instruct
469,Ceremonial,typhoon-v2.1-12b-instruct
470,Ceremonial,typhoon-v2.1-12b-instruct
471,Semi-formal,typhoon-v2.1-12b-instruct
472,Ceremonial,typhoon-v2.1-12b-instruct
473,Formal,typhoon-v2.1-12b-instruct
474,Formal,typhoon-v2.1-12b-instruct
475,Formal,typhoon-v2.1-12b-instruct
476,Formal,typhoon-v2.1-12b-instruct
477,Semi-formal,typhoon-v2.1-12b-instruct
478,Semi-formal,typhoon-v2.1-12b-instruct
479,Formal,typhoon-v2.1-12b-instruct
480,Formal,typhoon-v2.1-12b-instruct
481,Formal,typhoon-v2.1-12b-instruct
482,Ceremonial,typhoon-v2.1-12b-instruct
483,Ceremonial,typhoon-v2.1-12b-instruct
484,Formal,typhoon-v2.1-12b-instruct
485,Semi-formal,typhoon-v2.1-12b-instruct
486,Semi-formal,typhoon-v2.1-12b-instruct
487,Semi-formal,typhoon-v2.1-12b-instruct
488,Semi-formal,typhoon-v2.1-12b-instruct
489,Semi-formal,typhoon-v2.1-12b-instruct
490,Semi-formal,typhoon-v2.1-12b-instruct
491,Semi-formal,typhoon-v2.1-12b-instruct
492,Ceremonial,typhoon-v2.1-12b-instruct
493,Semi-formal,typhoon-v2.1-12b-instruct
494,Formal,typhoon-v2.1-12b-instruct
495,Casual,typhoon-v2.1-12b-instruct
496,Semi-formal,typhoon-v2.1-12b-instruct
497,Formal,typhoon-v2.1-12b-instruct
498,Casual,typhoon-v2.1-12b-instruct
499,Ceremonial,typhoon-v2.1-12b-instruct
500,Semi-formal,typhoon-v2.1-12b-instruct
501,Casual,typhoon-v2.1-12b-instruct
502,Casual,typhoon-v2.1-12b-instruct
503,Formal,typhoon-v2.1-12b-instruct
504,Ceremonial,typhoon-v2.1-12b-instruct
505,Semi-formal,typhoon-v2.1-12b-instruct
506,Ceremonial,typhoon-v2.1-12b-instruct
507,Ceremonial,typhoon-v2.1-12b-instruct
508,Semi-formal,typhoon-v2.1-12b-instruct
509,Formal,typhoon-v2.1-12b-instruct
510,Semi-formal,typhoon-v2.1-12b-instruct
511,Semi-formal,typhoon-v2.1-12b-instruct
512,Casual,typhoon-v2.1-12b-instruct
513,Semi-formal,typhoon-v2.1-12b-instruct
514,Semi-formal,typhoon-v2.1-12b-instruct
515,Semi-formal,typhoon-v2.1-12b-instruct
516,Formal,typhoon-v2.1-12b-instruct
517,Ceremonial,typhoon-v2.1-12b-instruct
518,Formal,typhoon-v2.1-12b-instruct
519,Casual,typhoon-v2.1-12b-instruct
520,Semi-formal,typhoon-v2.1-12b-instruct
521,Formal,typhoon-v2.1-12b-instruct
522,Ceremonial,typhoon-v2.1-12b-instruct
523,Ceremonial,typhoon-v2.1-12b-instruct
524,Formal,typhoon-v2.1-12b-instruct
525,Formal,typhoon-v2.1-12b-instruct
526,Ceremonial,typhoon-v2.1-12b-instruct
527,Semi-formal,typhoon-v2.1-12b-instruct
528,Semi-formal,typhoon-v2.1-12b-instruct
529,Semi-formal,typhoon-v2.1-12b-instruct
530,Ceremonial,typhoon-v2.1-12b-instruct
531,Semi-formal,typhoon-v2.1-12b-instruct
532,Semi-formal,typhoon-v2.1-12b-instruct
533,Casual,typhoon-v2.1-12b-instruct
534,Formal,typhoon-v2.1-12b-instruct
535,Semi-formal,typhoon-v2.1-12b-instruct
536,Ceremonial,typhoon-v2.1-12b-instruct
537,Casual,typhoon-v2.1-12b-instruct
538,Formal,typhoon-v2.1-12b-instruct
539,Semi-formal,typhoon-v2.1-12b-instruct
540,Semi-formal,typhoon-v2.1-12b-instruct
541,Formal,typhoon-v2.1-12b-instruct
542,Formal,typhoon-v2.1-12b-instruct
543,Semi-formal,typhoon-v2.1-12b-instruct
544,Ceremonial,typhoon-v2.1-12b-instruct
545,Formal,typhoon-v2.1-12b-instruct
546,Formal,typhoon-v2.1-12b-instruct
547,Formal,typhoon-v2.1-12b-instruct
548,Formal,typhoon-v2.1-12b-instruct
549,Semi-formal,typhoon-v2.1-12b-instruct
550,Formal,typhoon-v2.1-12b-instruct
551,Formal,typhoon-v2.1-12b-instruct
552,Casual,typhoon-v2.1-12b-instruct
553,Semi-formal,typhoon-v2.1-12b-instruct
554,Formal,typhoon-v2.1-12b-instruct
555,Formal,typhoon-v2.1-12b-instruct
556,Semi-formal,typhoon-v2.1-12b-instruct
557,Formal,typhoon-v2.1-12b-instruct
558,Ceremonial,typhoon-v2.1-12b-instruct
559,Formal,typhoon-v2.1-12b-instruct
560,Formal,typhoon-v2.1-12b-instruct
561,Ceremonial,typhoon-v2.1-12b-instruct
562,Formal,typhoon-v2.1-12b-instruct
563,Formal,typhoon-v2.1-12b-instruct
564,Formal,typhoon-v2.1-12b-instruct
565,Formal,typhoon-v2.1-12b-instruct
566,Ceremonial,typhoon-v2.1-12b-instruct
